roll;pitch;heading;rollRate;pitchRate;yawRate;groundSpeed;airSpeed;climbRate;altitudeRelative;altitudeAMSL;flightDistance;flightTime;distanceToHome;headingToNextWP;headingToHome;throttlePct;gps.lat;gps.lon
-0.5;-0.3;0;-0.1;0.1;0.1;0.0;0.0;0.0;0.0;847.3;0.0;00:00:00;0.0;--.--;--.--;0;-19.4679293;-49.1437887
-0.5;-0.3;0;-0.1;0.1;0.0;0.0;0.0;0.0;0.0;847.3;0.0;00:00:00;0.0;--.--;--.--;20;-19.4679292;-49.1437887
-0.5;-0.3;0;-0.2;-0.0;-0.0;0.0;0.0;0.0;0.0;847.3;0.0;00:00:00;0.0;--.--;--.--;50;-19.4679293;-49.1437887
1.0;-0.1;0;10.6;4.2;0.2;0.0;0.0;0.0;0.1;847.3;0.0;00:00:01;0.0;--.--;--.--;70;-19.4679293;-49.1437887
-1.0;-0.6;0;-0.9;-0.3;-0.1;0.1;0.0;0.8;0.6;847.9;0.0;00:00:02;0.1;--.--;--.--;74;-19.4679294;-49.1437881
-1.0;-0.6;0;0.7;-0.5;-4.8;0.0;0.0;1.2;1.7;849.0;0.0;00:00:03;0.1;--.--;--.--;73;-19.4679294;-49.1437874
-0.6;-0.4;0;-0.3;0.2;0.6;0.1;0.0;1.3;2.9;850.2;0.0;00:00:04;0.1;--.--;--.--;73;-19.4679293;-49.1437875
-0.5;-0.4;0;0.2;-0.2;-0.0;0.1;0.0;1.4;4.3;851.5;0.0;00:00:05;0.1;--.--;--.--;73;-19.4679291;-49.1437879
-0.5;-0.3;0;-0.0;0.8;-0.0;0.0;0.0;1.4;5.6;852.9;0.0;00:00:06;0.1;--.--;--.--;73;-19.4679288;-49.1437881
-0.5;-0.3;0;-0.2;-0.2;0.1;0.0;0.0;1.5;7.1;854.4;0.0;00:00:07;0.1;--.--;--.--;73;-19.4679286;-49.1437882
-0.4;-0.4;0;0.3;-0.0;-0.0;0.0;0.0;1.5;8.5;855.8;0.0;00:00:08;0.0;--.--;--.--;73;-19.4679286;-49.1437885
-0.4;-0.3;0;-0.1;0.3;0.2;0.0;0.0;1.5;10.0;857.3;0.0;00:00:09;0.0;--.--;--.--;73;-19.4679286;-49.1437887
-0.4;-0.3;0;-0.1;-0.2;0.0;0.0;0.0;2.0;11.8;859.1;0.0;00:00:10;0.0;--.--;--.--;70;-19.4679287;-49.1437888
-0.3;-0.4;0;0.1;-0.0;0.1;0.0;0.0;1.1;13.0;860.3;0.0;00:00:11;0.0;--.--;--.--;70;-19.4679289;-49.1437888
-0.4;-0.4;0;-0.4;-0.0;0.2;0.0;0.0;0.7;13.8;861.1;0.0;00:00:12;0.0;--.--;--.--;70;-19.4679289;-49.1437888
1.4;-3.0;359;11.0;-23.9;-1.4;0.0;0.0;0.4;14.3;861.6;0.0;00:00:13;0.0;--.--;--.--;70;-19.4679290;-49.1437885
2.1;-19.7;359;0.7;-1.1;0.3;1.6;0.0;0.3;14.6;861.9;0.0;00:00:14;0.9;--.--;--.--;72;-19.4679270;-49.1437877
3.0;-16.1;0;1.0;16.5;-0.5;4.1;0.0;0.1;14.7;862.0;4.1;00:00:15;4.3;--.--;189;72;-19.4678988;-49.1437835
1.8;-9.2;359;-0.3;-1.2;-0.0;4.4;0.0;0.0;14.7;862.0;8.2;00:00:16;8.7;--.--;189;71;-19.4678988;-49.1437835
1.5;-10.0;359;-0.3;-0.4;-0.2;4.4;0.0;-0.0;14.7;862.0;12.3;00:00:17;13.1;--.--;189;71;-19.4678276;-49.1437712
1.4;-10.3;359;0.1;-0.3;0.2;4.5;0.0;-0.0;14.7;862.0;16.4;00:00:18;17.6;--.--;189;71;-19.4677801;-49.1437621
1.2;-10.4;359;-0.4;-0.3;0.2;4.6;0.0;-0.0;14.7;862.0;20.5;00:00:19;22.1;--.--;190;71;-19.4677801;-49.1437621
1.3;-10.5;359;0.4;-0.1;-0.0;4.6;0.0;-0.0;14.7;862.0;26.6;00:00:20;26.8;--.--;190;71;-19.4677478;-49.1437560
1.5;-10.5;359;-0.1;-0.2;0.1;4.7;0.0;-0.0;14.7;862.0;30.7;00:00:21;31.5;--.--;190;71;-19.4677071;-49.1437487
1.6;-10.6;359;-0.0;-0.3;0.0;4.8;0.0;-0.0;14.7;862.0;34.8;00:00:22;36.3;--.--;189;71;-19.4676650;-49.1437415
1.8;-10.6;359;0.3;-0.2;0.1;4.8;0.0;-0.0;14.7;862.0;40.9;00:00:23;41.1;--.--;189;71;-19.4676230;-49.1437343
1.6;-10.7;359;-0.1;0.1;0.1;4.8;0.0;-0.0;14.7;862.0;45.1;00:00:24;45.9;--.--;189;71;-19.4675717;-49.1437256
1.5;-10.8;359;-0.0;0.0;0.2;4.9;0.0;-0.0;14.8;862.0;49.1;00:00:25;50.8;--.--;189;71;-19.4675375;-49.1437194
1.5;-10.7;359;-0.0;0.4;-0.1;4.9;0.0;-0.0;14.8;862.0;55.3;00:00:26;55.6;--.--;189;71;-19.4674854;-49.1437101
1.6;-10.7;359;0.1;-0.1;0.1;4.9;0.0;-0.0;14.8;862.0;59.4;00:00:27;60.5;--.--;189;71;-19.4674507;-49.1437040
1.7;-10.7;359;0.1;-0.1;0.0;4.9;0.0;0.0;14.8;862.0;63.5;00:00:28;65.4;--.--;189;71;-19.4674072;-49.1436966
1.7;-10.7;359;-0.3;-0.1;-0.1;4.9;0.0;0.0;14.7;862.0;69.8;00:00:30;70.2;--.--;189;71;-19.4673633;-49.1436892
1.8;-10.7;0;-0.3;-0.2;0.1;4.9;0.0;0.0;14.7;862.0;74.0;00:00:30;75.1;--.--;189;71;-19.4673189;-49.1436814
1.7;-10.7;0;-0.1;-0.3;0.0;4.9;0.0;0.1;14.7;862.0;80.1;00:00:31;80.1;--.--;189;71;-19.4672664;-49.1436722
1.6;-10.7;359;0.1;0.0;0.2;5.0;0.0;0.1;14.7;862.0;84.3;00:00:32;85.1;--.--;189;71;-19.4672225;-49.1436644
1.6;-10.7;359;-0.1;-0.1;0.1;5.0;0.0;0.0;14.7;862.0;88.4;00:00:33;90.0;--.--;189;71;-19.4671783;-49.1436566
1.8;-10.7;359;0.2;0.1;0.0;5.0;0.0;0.0;14.8;862.0;94.7;00:00:34;95.1;--.--;189;71;-19.4671343;-49.1436489
1.7;-10.7;359;-0.2;-0.3;-0.1;5.0;0.0;0.0;14.8;862.1;98.8;00:00:36;99.8;--.--;189;71;-19.4670902;-49.1436413
1.7;-10.8;359;-0.2;-0.1;0.1;5.0;0.0;0.0;14.8;862.1;103.0;00:00:36;104.7;--.--;189;71;-19.4670550;-49.1436351
1.8;-10.8;359;0.3;-0.3;-0.1;5.0;0.0;0.0;14.8;862.1;109.2;00:00:37;109.5;--.--;189;71;-19.4670106;-49.1436273
1.7;-10.8;359;-0.2;0.1;0.1;5.0;0.0;0.0;14.8;862.1;113.3;00:00:39;114.6;--.--;189;71;-19.4669572;-49.1436179
1.5;-10.8;359;0.3;-0.3;0.1;5.0;0.0;0.0;14.8;862.1;119.3;00:00:39;119.3;--.--;189;71;-19.4669128;-49.1436100
1.6;-10.7;359;0.1;-0.1;-0.1;5.0;0.0;0.0;14.8;862.1;123.4;00:00:41;124.3;--.--;189;71;-19.4668681;-49.1436022
1.7;-10.8;359;0.3;-0.1;-0.0;5.0;0.0;0.0;14.8;862.1;127.4;00:00:41;129.3;--.--;189;71;-19.4668326;-49.1435961
1.8;-10.8;0;0.1;-0.3;0.1;5.0;0.0;0.0;14.8;862.1;133.4;00:00:42;134.3;--.--;189;71;-19.4667792;-49.1435871
1.8;-10.8;359;-0.3;0.1;-0.2;5.0;0.0;0.0;14.8;862.1;137.5;00:00:44;139.2;--.--;189;71;-19.4667345;-49.1435796
1.6;-10.7;359;0.2;-0.2;-0.1;5.0;0.0;0.0;14.8;862.1;143.6;00:00:44;144.4;--.--;189;71;-19.4666900;-49.1435719
1.6;-10.7;0;-0.1;-0.0;0.0;5.0;0.0;0.0;14.8;862.1;147.8;00:00:45;149.2;--.--;189;71;-19.4666458;-49.1435640
1.7;-10.9;359;0.2;-0.7;0.0;5.0;0.0;0.0;14.8;862.1;153.9;00:00:46;154.3;--.--;189;71;-19.4666102;-49.1435576
1.7;-10.9;359;0.2;0.1;0.2;5.0;0.0;0.1;14.8;862.1;158.1;00:00:48;159.1;--.--;189;71;-19.4665661;-49.1435499
1.8;-10.8;359;0.2;0.0;0.0;5.0;0.0;0.0;14.8;862.1;162.2;00:00:48;164.1;--.--;189;71;-19.4665130;-49.1435405
1.7;-10.8;0;-0.1;-0.0;-0.1;5.0;0.0;0.1;14.8;862.1;168.3;00:00:49;169.3;--.--;189;71;-19.4664772;-49.1435343
1.7;-10.7;0;-0.0;-0.3;-0.0;5.0;0.0;0.1;14.8;862.1;172.4;00:00:50;174.3;--.--;189;71;-19.4664236;-49.1435248
1.7;-10.8;0;0.2;-0.2;-0.2;4.9;0.0;0.1;14.8;862.1;178.5;00:00:51;179.3;--.--;189;71;-19.4663791;-49.1435169
1.6;-10.9;359;0.2;-0.1;-0.0;4.9;0.0;0.1;14.8;862.1;182.7;00:00:53;184.2;--.--;189;71;-19.4663439;-49.1435108
1.7;-10.8;0;-0.2;-0.1;0.1;4.9;0.0;0.1;14.8;862.1;188.9;00:00:53;189.2;--.--;189;71;-19.4662904;-49.1435014
1.7;-10.9;359;0.2;0.1;-0.0;5.0;0.0;0.1;14.8;862.1;193.1;00:00:54;194.2;--.--;189;71;-19.4662552;-49.1434953
1.8;-10.8;0;0.2;-0.2;-0.2;5.0;0.0;0.1;14.8;862.1;199.2;00:00:55;199.2;--.--;189;71;-19.4662016;-49.1434860
1.7;-10.8;0;-0.4;0.4;0.1;5.0;0.0;0.1;14.8;862.1;203.3;00:00:56;204.2;--.--;189;71;-19.4661664;-49.1434799
1.6;-11.0;359;0.1;-0.4;-0.1;4.9;0.0;0.1;14.8;862.1;207.3;00:00:57;209.1;--.--;189;71;-19.4661219;-49.1434721
1.9;-10.8;0;0.2;-0.4;-0.2;5.0;0.0;0.1;14.9;862.1;213.6;00:00:58;214.2;--.--;189;71;-19.4660689;-49.1434628
1.9;-10.9;359;0.1;-0.0;-0.1;5.0;0.0;0.1;14.9;862.2;217.7;00:00:59;219.1;--.--;189;71;-19.4660336;-49.1434567
1.7;-10.9;0;-0.4;0.1;-0.0;5.0;0.0;0.1;14.9;862.2;224.1;00:01:00;224.1;--.--;189;71;-19.4659897;-49.1434490
1.7;-10.9;0;0.0;0.2;0.0;5.0;0.0;0.1;14.9;862.2;228.2;00:01:01;229.1;--.--;189;71;-19.4659367;-49.1434395
1.8;-10.9;359;0.1;0.2;0.2;5.0;0.0;0.1;14.9;862.2;232.4;00:01:02;234.1;--.--;189;71;-19.4659015;-49.1434333
1.8;-10.9;359;-0.1;-0.3;0.1;5.0;0.0;0.0;14.9;862.2;238.6;00:01:03;239.0;--.--;189;71;-19.4658572;-49.1434255
1.8;-10.9;0;-0.1;0.3;0.1;5.0;0.0;0.0;15.0;862.2;242.9;00:01:04;244.0;--.--;189;71;-19.4658042;-49.1434164
2.1;-11.7;0;2.5;-16.0;0.2;5.0;0.0;0.0;15.0;862.3;249.0;00:01:05;249.0;--.--;189;71;-19.4657688;-49.1434104
0.1;4.2;359;-1.8;29.1;0.1;4.7;0.0;0.0;15.0;862.3;253.1;00:01:06;253.9;--.--;189;70;-19.4657154;-49.1434012
-1.8;13.7;359;-1.3;6.5;0.4;1.9;0.0;0.0;15.0;862.2;255.2;00:01:07;256.8;189;189;73;-19.4656807;-49.1433953
-2.8;14.3;0;0.4;-2.9;-0.1;1.0;0.0;0.0;15.0;862.3;255.2;00:01:08;256.8;189;189;71;-19.4656493;-49.1433890
-3.4;16.9;359;-0.8;6.6;0.3;2.9;0.0;0.0;15.0;862.3;255.2;00:01:09;254.5;189;189;72;-19.4656498;-49.1433877
-1.7;5.4;0;14.7;-13.0;-0.8;4.2;0.0;-0.0;15.0;862.3;259.2;00:01:10;250.5;189;189;71;-19.4656744;-49.1433907
-1.7;8.6;359;-0.0;1.5;0.1;4.0;0.0;0.0;15.0;862.3;263.3;00:01:11;246.5;189;189;71;-19.4657102;-49.1433974
-1.2;6.0;0;1.1;-17.3;-0.1;4.1;0.0;0.0;15.0;862.3;267.4;00:01:12;242.4;189;189;70;-19.4657464;-49.1434051
-0.3;1.0;359;0.7;-2.6;0.0;3.5;0.0;0.0;15.0;862.3;271.4;00:01:13;238.7;189;189;70;-19.4657753;-49.1434111
0.5;-0.9;359;1.3;-1.3;0.3;2.5;0.0;0.0;15.0;862.3;273.4;00:01:14;235.8;189;189;70;-19.4658154;-49.1434193
4.0;1.2;0;27.6;-7.6;0.2;2.1;0.0;0.0;15.0;862.3;275.4;00:01:15;233.7;125;189;70;-19.4658354;-49.1434234
9.5;-2.8;359;-5.8;2.2;0.9;2.1;0.0;0.0;15.0;862.3;277.4;00:01:16;232.1;125;190;71;-19.4658544;-49.1434267
16.4;13.3;0;-15.4;-0.7;-3.5;3.7;0.0;0.1;15.0;862.3;279.5;00:01:17;231.2;125;190;72;-19.4658726;-49.1434192
7.7;4.6;359;4.2;7.0;0.2;4.5;0.0;0.0;15.0;862.3;285.6;00:01:18;229.6;125;191;71;-19.4658856;-49.1433934
8.3;5.0;0;0.4;-0.1;0.1;4.5;0.0;0.0;14.9;862.2;289.7;00:01:19;228.0;125;192;71;-19.4659029;-49.1433642
0.8;0.8;359;0.4;-4.8;0.4;4.3;0.0;0.0;14.9;862.2;293.8;00:01:20;226.5;125;193;70;-19.4659288;-49.1433207
-0.3;-1.2;0;-1.1;-1.9;-0.1;3.1;0.0;0.1;14.9;862.2;297.9;00:01:21;225.4;125;194;70;-19.4659503;-49.1432848
3.6;2.7;0;12.2;2.2;-0.0;2.1;0.0;0.1;14.9;862.2;299.9;00:01:22;224.6;125;195;70;-19.4659640;-49.1432625
-12.9;7.9;0;15.2;2.8;0.5;1.7;0.0;0.1;14.9;862.2;301.9;00:01:23;223.7;191;195;71;-19.4659760;-49.1432422
-8.8;20.4;359;1.1;7.8;2.4;2.9;0.0;0.1;15.0;862.3;303.9;00:01:24;221.5;191;195;73;-19.4659909;-49.1432274
-2.5;7.8;0;-3.0;-15.4;-0.7;4.6;0.0;0.0;15.0;862.3;308.0;00:01:25;217.2;191;195;71;-19.4660071;-49.1432302
-2.9;9.3;359;0.2;0.8;-0.1;4.5;0.0;0.0;14.9;862.2;312.1;00:01:26;212.6;191;195;71;-19.4660428;-49.1432412
-2.7;9.7;359;0.2;0.4;-0.2;4.6;0.0;0.0;15.0;862.3;318.1;00:01:27;208.0;191;195;71;-19.4660911;-49.1432548
-2.7;9.9;359;-0.0;-0.2;-0.0;4.7;0.0;0.0;15.0;862.3;322.2;00:01:28;203.3;191;195;71;-19.4661230;-49.1432640
-4.1;9.4;0;17.8;3.8;1.0;4.7;0.0;0.0;15.0;862.3;326.3;00:01:29;198.6;196;195;71;-19.4661641;-49.1432755
-3.0;9.9;0;-0.2;0.1;-0.0;4.8;0.0;0.0;15.0;862.3;332.4;00:01:30;193.9;196;195;71;-19.4662138;-49.1432896
-2.9;10.0;359;0.0;-0.3;-0.1;4.8;0.0;-0.0;15.0;862.3;336.6;00:01:31;188.9;196;195;71;-19.4662555;-49.1433021
-2.8;9.3;0;3.7;-11.3;-0.1;4.9;0.0;-0.0;15.0;862.3;340.7;00:01:32;183.9;196;195;71;-19.4662975;-49.1433145
-0.1;-0.4;0;1.5;-3.2;-0.1;3.8;0.0;-0.0;15.0;862.3;344.7;00:01:33;179.6;196;195;70;-19.4663402;-49.1433271
0.7;0.3;0;-6.4;23.0;-0.1;2.5;0.0;-0.0;15.0;862.3;348.8;00:01:34;176.6;196;195;70;-19.4663705;-49.1433363
15.0;2.0;359;20.1;-3.1;0.2;2.1;0.0;0.0;15.0;862.3;350.8;00:01:35;174.3;140;195;72;-19.4664016;-49.1433457
14.2;12.3;1;-2.5;16.3;-4.6;2.8;0.0;0.0;15.0;862.3;352.8;00:01:36;172.7;140;196;72;-19.4664174;-49.1433491
6.0;6.1;359;-21.4;-17.1;3.1;4.7;0.0;-0.0;15.0;862.3;356.9;00:01:37;170.8;140;197;71;-19.4664387;-49.1433337
6.7;7.2;0;0.5;1.0;-0.3;4.6;0.0;0.0;15.0;862.3;363.0;00:01:38;168.6;140;199;71;-19.4664602;-49.1433110
3.6;4.1;359;-18.5;-22.9;0.9;4.6;0.0;0.0;15.0;862.3;367.1;00:01:39;166.6;140;200;70;-19.4664959;-49.1432735
0.0;0.1;0;0.5;-1.9;0.2;3.5;0.0;0.0;15.0;862.2;371.2;00:01:40;164.9;140;201;70;-19.4665196;-49.1432487
0.0;-0.4;359;16.6;13.3;-0.1;2.3;0.0;0.0;15.0;862.2;373.2;00:01:41;163.7;140;202;70;-19.4665460;-49.1432216
-11.1;6.5;0;-25.6;-0.3;-0.0;2.0;0.0;0.0;15.0;862.3;375.2;00:01:42;162.8;199;203;71;-19.4665672;-49.1431997
-10.7;14.4;359;-1.5;23.2;3.2;2.4;0.0;0.0;15.0;862.3;377.2;00:01:43;160.9;199;203;72;-19.4665820;-49.1431873
-2.9;13.2;0;-4.1;-15.6;-1.6;4.5;0.0;-0.0;15.0;862.3;381.4;00:01:44;157.2;199;203;72;-19.4666010;-49.1431917
-4.1;9.1;359;0.1;0.4;0.1;4.6;0.0;-0.0;15.0;862.3;385.4;00:01:45;152.5;199;203;71;-19.4666262;-49.1432042
-4.0;9.6;359;0.2;0.4;0.1;4.6;0.0;-0.0;15.0;862.3;389.5;00:01:46;148.0;199;203;71;-19.4666652;-49.1432212
-0.6;1.1;0;1.8;-0.5;-0.2;4.0;0.0;-0.0;15.0;862.3;395.7;00:01:47;143.4;199;203;70;-19.4667113;-49.1432419
-3.0;7.0;0;3.3;-3.0;-0.2;3.4;0.0;-0.0;15.0;862.3;397.7;00:01:48;139.9;199;203;71;-19.4667408;-49.1432551
12.7;9.5;0;-6.4;15.5;-1.1;3.3;0.0;-0.0;15.1;862.3;401.8;00:01:49;136.6;174;203;72;-19.4667756;-49.1432706
1.7;13.4;0;1.3;-19.6;-0.2;4.7;0.0;-0.1;15.1;862.4;405.9;00:01:50;133.1;174;204;71;-19.4668051;-49.1432775
1.6;10.2;359;0.2;0.6;0.1;4.8;0.0;-0.1;15.1;862.4;409.9;00:01:51;129.0;174;205;71;-19.4668347;-49.1432731
1.5;10.6;359;-0.3;0.1;0.1;4.8;0.0;-0.1;15.1;862.3;416.0;00:01:52;125.2;174;206;71;-19.4668859;-49.1432651
-0.0;0.9;359;-1.3;-2.8;0.1;4.0;0.0;-0.1;15.1;862.3;420.1;00:01:53;121.5;174;208;70;-19.4669286;-49.1432580
0.8;7.4;359;1.7;-6.4;-0.1;3.1;0.0;-0.0;15.0;862.3;424.1;00:01:54;118.9;174;208;70;-19.4669668;-49.1432514
-15.4;4.3;0;3.6;-1.7;0.1;2.9;0.0;0.0;15.0;862.3;426.1;00:01:55;116.4;207;209;71;-19.4669951;-49.1432468
-8.9;19.2;359;19.3;-14.5;1.7;4.3;0.0;-0.0;15.0;862.3;430.2;00:01:56;113.0;207;209;72;-19.4670212;-49.1432471
-5.3;8.6;359;0.9;1.4;-0.3;4.8;0.0;-0.0;15.0;862.3;434.2;00:01:57;108.3;207;209;71;-19.4670431;-49.1432602
-5.1;9.0;359;0.3;0.4;0.1;4.8;0.0;-0.0;15.0;862.3;438.4;00:01:58;103.6;207;209;71;-19.4670873;-49.1432871
-5.0;9.2;359;-0.2;0.2;0.0;4.8;0.0;-0.0;15.0;862.3;444.6;00:01:59;98.9;207;209;71;-19.4671239;-49.1433096
-4.9;9.3;359;0.0;0.2;-0.1;4.9;0.0;-0.0;15.0;862.3;448.6;00:02:00;94.2;207;209;71;-19.4671534;-49.1433276
-5.1;9.3;359;0.2;0.1;0.1;4.9;0.0;0.0;15.0;862.3;452.7;00:02:01;89.4;209;209;71;-19.4671904;-49.1433500
-5.1;9.3;359;-0.0;0.2;0.0;4.9;0.0;0.0;15.0;862.3;458.8;00:02:02;84.5;209;209;71;-19.4672357;-49.1433772
-5.1;9.3;0;-0.1;0.1;0.0;4.9;0.0;0.0;15.0;862.3;462.9;00:02:03;79.6;209;209;71;-19.4672663;-49.1433955
-2.8;4.2;0;7.6;-27.3;-1.0;4.9;0.0;0.0;15.0;862.3;467.1;00:02:04;74.7;209;209;70;-19.4673126;-49.1434231
-3.1;7.0;359;-21.6;19.6;0.3;3.6;0.0;0.0;15.0;862.3;471.2;00:02:05;70.4;209;209;71;-19.4673432;-49.1434414
8.3;9.1;359;25.1;-1.3;-0.3;3.6;0.0;0.0;15.0;862.3;475.3;00:02:06;66.9;185;209;71;-19.4673818;-49.1434645
-0.6;19.3;0;3.3;-23.6;-0.4;4.5;0.0;0.0;15.0;862.3;479.4;00:02:07;63.4;185;210;72;-19.4674050;-49.1434773
-0.1;10.5;359;-0.5;-0.6;0.0;4.8;0.0;0.0;15.0;862.3;483.5;00:02:08;59.1;185;213;71;-19.4674390;-49.1434823
-0.3;10.5;359;-0.3;0.2;0.0;4.9;0.0;0.0;15.0;862.2;489.6;00:02:09;54.9;185;215;71;-19.4674915;-49.1434847
-0.1;0.8;0;0.1;1.2;-0.2;4.3;0.0;0.0;14.9;862.2;493.6;00:02:10;51.1;185;218;70;-19.4675263;-49.1434858
0.2;2.3;0;0.6;23.8;0.1;3.0;0.0;0.0;14.9;862.2;497.7;00:02:11;48.2;185;221;70;-19.4675694;-49.1434873
-12.8;2.2;0;-25.3;-3.0;-0.1;2.7;0.0;0.1;15.0;862.2;499.7;00:02:12;46.0;220;223;72;-19.4676069;-49.1434886
-14.3;13.8;358;-2.3;23.0;5.0;3.4;0.0;0.1;15.0;862.3;503.8;00:02:13;43.2;220;224;73;-19.4676275;-49.1434899
-6.1;6.3;0;-7.2;6.4;-2.1;4.8;0.0;0.0;15.0;862.3;507.8;00:02:14;38.7;220;224;71;-19.4676541;-49.1435098
-7.1;7.5;359;-0.0;0.2;0.2;4.8;0.0;0.0;15.0;862.3;511.9;00:02:15;33.9;220;224;71;-19.4676848;-49.1435404
-7.1;7.7;359;0.2;0.2;0.0;4.8;0.0;0.0;15.0;862.3;517.9;00:02:16;29.1;220;224;71;-19.4677098;-49.1435659
-7.0;7.8;359;0.1;0.3;-0.0;4.8;0.0;0.0;15.0;862.3;522.0;00:02:17;24.3;220;224;71;-19.4677471;-49.1436042
-7.1;7.8;359;-0.4;-0.1;-0.1;4.9;0.0;0.0;15.0;862.3;526.2;00:02:18;19.5;224;224;71;-19.4677720;-49.1436296
-7.1;7.9;0;0.0;0.1;-0.1;4.9;0.0;0.0;15.0;862.3;532.3;00:02:19;14.6;224;224;71;-19.4678037;-49.1436620
-2.2;2.2;0;18.0;-21.8;-1.2;4.8;0.0;-0.0;15.0;862.3;536.4;00:02:20;9.7;224;223;70;-19.4678419;-49.1437009
0.6;-0.2;0;1.7;-1.0;0.3;3.4;0.0;-0.0;15.0;862.3;540.5;00:02:21;5.6;224;223;70;-19.4678673;-49.1437266
1.4;-1.2;0;0.7;-0.5;-0.2;2.1;0.0;-0.0;15.0;862.3;544.6;00:02:22;2.8;224;223;70;-19.4678937;-49.1437533
1.4;-1.3;0;0.9;0.4;-0.1;1.2;0.0;0.0;15.0;862.3;544.6;00:02:23;1.2;224;224;70;-19.4679140;-49.1437735
1.0;-0.8;0;-1.1;0.3;-0.1;0.6;0.0;0.0;15.0;862.3;546.6;00:02:24;0.3;224;--.--;70;-19.4679219;-49.1437814
0.6;-0.4;0;0.0;0.6;0.0;0.2;0.0;0.0;15.0;862.3;546.6;00:02:25;0.1;224;--.--;70;-19.4679281;-49.1437879
0.5;-0.2;0;0.0;0.0;-0.1;0.1;0.0;0.0;15.0;862.3;546.6;00:02:26;0.3;224;--.--;70;-19.4679302;-49.1437903
0.3;-0.0;0;-0.2;-0.2;0.0;0.0;0.0;0.0;15.0;862.3;546.6;00:02:27;0.3;224;--.--;70;-19.4679309;-49.1437911
0.3;0.1;0;0.0;0.4;-0.0;0.0;0.0;0.0;15.0;862.2;546.6;00:02:28;0.3;224;--.--;70;-19.4679309;-49.1437913
0.3;0.2;0;-0.4;0.3;0.1;0.1;0.0;0.0;15.0;862.2;546.6;00:02:29;0.3;224;--.--;70;-19.4679306;-49.1437911
-0.2;0.3;0;5.6;-2.9;-0.1;0.1;0.0;-1.1;14.9;862.2;546.6;00:02:31;0.3;224;--.--;74;-19.4679304;-49.1437906
0.1;0.2;0;-0.1;-0.5;-0.1;0.1;0.0;-0.9;14.0;861.3;546.6;00:02:31;0.3;224;--.--;72;-19.4679305;-49.1437905
0.1;0.1;0;-0.2;0.3;-0.1;0.0;0.0;-1.0;13.0;860.3;546.6;00:02:32;0.3;224;--.--;72;-19.4679309;-49.1437908
0.1;0.0;0;0.2;-0.2;0.1;0.0;0.0;-1.0;12.0;859.3;546.6;00:02:33;0.3;224;--.--;72;-19.4679311;-49.1437909
0.2;0.0;0;0.4;0.2;-0.0;0.0;0.0;-0.9;11.0;858.3;546.6;00:02:34;0.3;224;--.--;72;-19.4679312;-49.1437911
0.1;-0.0;0;-0.0;-0.1;-0.0;0.0;0.0;-0.9;10.0;857.3;546.6;00:02:35;0.3;224;--.--;72;-19.4679312;-49.1437913
0.3;0.2;0;-0.4;0.2;-0.1;0.0;0.0;-0.9;9.1;856.3;546.6;00:02:36;0.3;224;--.--;72;-19.4679311;-49.1437914
0.2;0.1;0;0.3;0.3;-0.0;0.0;0.0;-0.8;8.2;855.4;546.6;00:02:37;0.3;224;--.--;72;-19.4679309;-49.1437914
0.2;0.2;0;-0.2;-0.1;-0.1;0.0;0.0;-0.8;7.3;854.6;546.6;00:02:38;0.3;224;--.--;72;-19.4679307;-49.1437914
0.1;0.1;0;0.2;0.2;0.1;0.0;0.0;-0.8;6.5;853.8;546.6;00:02:39;0.3;224;--.--;72;-19.4679306;-49.1437912
0.0;0.2;0;0.3;-0.2;-0.1;0.0;0.0;-0.7;5.8;853.0;546.6;00:02:40;0.3;224;--.--;72;-19.4679305;-49.1437910
0.1;0.1;0;-0.1;-0.0;0.0;0.0;0.0;-0.7;5.1;852.3;546.6;00:02:41;0.3;224;--.--;71;-19.4679305;-49.1437909
0.1;0.3;0;0.3;0.6;-0.2;0.0;0.0;-0.7;4.4;851.6;546.6;00:02:42;0.3;224;--.--;71;-19.4679303;-49.1437910
0.0;0.2;0;0.1;-0.0;-0.1;0.0;0.0;-0.7;3.7;851.0;546.6;00:02:43;0.3;224;--.--;71;-19.4679303;-49.1437910
0.1;0.3;0;0.7;0.0;0.1;0.0;0.0;-0.7;3.0;850.3;546.6;00:02:44;0.3;224;--.--;71;-19.4679303;-49.1437910
0.0;0.2;0;0.2;-0.2;0.1;0.0;0.0;-0.8;2.3;849.6;546.6;00:02:45;0.3;224;--.--;71;-19.4679302;-49.1437911
-0.1;0.2;0;0.1;-0.3;-0.1;0.0;0.0;-0.8;1.6;848.9;546.6;00:02:46;0.3;224;--.--;71;-19.4679302;-49.1437911
-0.1;0.3;0;0.2;-0.2;-0.1;0.0;0.0;-0.8;0.9;848.2;546.6;00:02:47;0.3;224;--.--;71;-19.4679301;-49.1437909
-0.1;0.2;0;0.1;-0.1;-0.1;0.0;0.0;-0.8;0.3;847.5;546.6;00:02:48;0.3;224;--.--;71;-19.4679301;-49.1437908
-0.1;0.2;0;-0.2;-0.2;-0.0;0.0;0.0;-0.7;-0.6;846.7;546.6;00:02:49;0.3;224;--.--;67;-19.4679301;-49.1437909
-0.0;0.3;0;-0.1;0.1;0.1;0.0;0.0;-1.0;-0.7;846.6;546.6;00:02:50;0.3;224;--.--;70;-19.4679302;-49.1437908
